Location,County
Durham,Durham
Bishop Auckland,Durham
Bishop's Stortford,Hertfordshire
Llanelwy,Sir Ddinbych - Denbighshire
St Davids,Sir Benfro - Pembrokeshire
Aberystwyth,Sir Ceredigion - Ceredigion
Pont-y-p?l,Torfaen - Torfaen
Paisley,Renfrewshire
East Kilbride,South Lanarkshire
Dunfermline,Fife
Kilmarnock,East Ayrshire
Glenrothes,Fife
Falkirk,Falkirk
Huntingdon,Cambridgeshire
Ampthill,Central Bedfordshire
Dunstable,Central Bedfordshire
Congleton,Cheshire East
Bodmin,Cornwall
Lostwithiel,Cornwall
